,证券简称,涨跌,总笔数,证券代码,交易日期,收盘价,最低成交价,最高成交价,成交数量,今日开盘价,市盈率,昨日收盘价,振幅,换手率,成交金额,流通股本,涨跌幅,发行总股本,交易所,流通市值,总市值
0,中国平安,0.45,24497,601318,2016-11-01,35.06,34.5,35.1,36719126,34.63,11.82,34.61,1.74,0.34,1282156408,10832664498,1.3002,10832664498,上交所,379793217299.88,379793217299.88
1,中国平安,-0.45,16635,601318,2016-11-02,34.61,34.54,34.98,25676031,34.89,,35.06,1.27,0.237,892639555,10832664498,-1.2835,10832664498,上交所,374918518275.77997,374918518275.77997
2,中国平安,0.36,17580,601318,2016-11-03,34.97,34.52,35.09,40514435,34.59,11.79,34.61,1.65,0.374,1412764012,10832664498,1.0402,10832664498,上交所,378818277495.06,378818277495.06
3,中国平安,-0.04,16062,601318,2016-11-04,34.93,34.87,35.16,26447974,34.88,11.78,34.97,0.83,0.244,925529772,10832664498,-0.1144,10832664498,上交所,378384970915.14,378384970915.14
4,中国平安,0.06,12681,601318,2016-11-07,34.99,34.88,35.05,21516692,34.98,11.8,34.93,0.49,0.199,752624552,10832664498,0.1718,10832664498,上交所,379034930785.02,379034930785.02
5,中国平安,0.01,14722,601318,2016-11-08,35.0,34.88,35.18,28683168,35.11,11.8,34.99,0.86,0.265,1005144719,10832664498,0.0286,10832664498,上交所,379143257430.0,379143257430.0
6,中国平安,-0.29,24624,601318,2016-11-09,34.71,34.33,35.01,68834550,35.0,11.71,35.0,1.98,0.635,2389583084,10832664498,-0.8286,10832664498,上交所,376001784725.58,376001784725.58
7,中国平安,0.23,18503,601318,2016-11-10,34.94,34.85,35.2,35280334,34.92,11.78,34.71,1.0,0.326,1235297816,10832664498,0.6626,10832664498,上交所,378493297560.12,378493297560.12
8,中国平安,0.05,21467,601318,2016-11-11,34.99,34.86,35.24,52390695,34.95,11.8,34.94,1.09,0.484,1836030752,10832664498,0.1431,10832664498,上交所,379034930785.02,379034930785.02
9,中国平安,-0.04,21608,601318,2016-11-14,34.95,34.88,35.13,68357166,34.92,11.79,34.99,0.72,0.631,2393598916,10832664498,-0.1143,10832664498,上交所,378601624205.10004,378601624205.10004
10,中国平安,0.01,14289,601318,2016-11-15,34.96,34.9,35.01,28690403,34.98,11.79,34.95,0.32,0.265,1002698055,10832664498,0.0286,10832664498,上交所,378709950850.08,378709950850.08
