,代码,名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,301073,N君亭,28.64,16.4,133.99,135351,408362640.0,43.06,32.98,27.71,30.25,12.24,-,70.99,44.03,4.77,2306665600,546066221
1,301077,N星华,73.8,12.34,20.08,69848,559103248.0,35.01,95.0,73.48,79.0,61.46,-,46.57,49.04,3.85,4428000000,1107000000
2,300514,友讯达,11.69,1.95,20.02,119938,138953067.0,19.2,11.69,9.82,9.83,9.74,1.47,7.84,247.16,3.96,2338000000,1787541280
3,300830,金现代,16.07,2.68,20.01,598054,915766544.0,15.38,16.07,14.01,14.5,13.39,2.0,31.27,206.02,6.19,6912108750,3073688813
4,688711,宏微科技,105.36,17.56,20.0,47645,469374320.0,21.03,105.36,86.9,88.6,87.8,1.74,23.55,163.23,12.07,10377257670,2131858560
5,688621,阳光诺和,182.52,30.42,20.0,18403,315161984.0,19.53,182.52,152.81,152.81,152.1,1.45,10.67,123.82,20.41,14601600000,3149438634
6,300648,星云股份,68.4,11.4,20.0,143297,941801776.0,19.35,68.4,57.37,58.9,57.0,2.67,15.53,82.47,9.8,10108418486,6311686676
7,300472,新元科技,15.96,2.66,20.0,526410,796658752.0,16.99,15.96,13.7,13.7,13.3,1.79,22.98,59.53,3.55,4255273091,3655964382
8,300366,创意信息,14.88,2.48,20.0,1040118,1409356432.0,19.19,14.88,12.5,12.5,12.4,0.97,25.84,95.17,4.62,7820573112,5990579971
9,300179,四方达,10.09,1.68,19.98,433510,413966048.0,17.6,10.09,8.61,8.61,8.41,1.34,13.16,50.42,5.53,4923334770,3323458750
10,300619,金银河,53.89,7.64,16.52,70269,356923232.0,16.76,54.06,46.31,47.68,46.25,1.37,12.41,283.04,7.98,4024811619,3051298361
11,300390,天华超净,107.35,13.85,14.81,193872,2022607472.0,10.86,108.3,98.15,98.15,93.5,1.03,4.98,100.09,28.17,62572225754,41766524301
12,688626,翔宇医疗,57.9,7.4,14.65,42118,238056258.0,16.46,58.99,50.68,51.5,50.5,2.47,10.88,53.64,5.09,9264000000,2241876420
13,688103,国力股份,62.4,7.78,14.24,22504,128401460.0,20.43,62.66,51.5,54.62,54.62,0.91,11.57,87.22,6.92,5952336000,1213517136
14,300305,裕兴股份,16.07,1.82,12.77,115024,180832149.0,9.19,16.32,15.01,15.18,14.25,1.29,4.95,18.11,2.74,4640260710,3737806776
15,300277,海联讯,10.78,1.22,12.76,304894,327277744.0,17.26,11.4,9.75,9.75,9.56,1.09,9.12,236.09,7.55,3611300000,3605207953
16,300598,诚迈科技,77.19,8.59,12.52,173677,1309253104.0,12.61,79.58,70.93,71.02,68.6,0.92,10.87,-603.6,11.04,12338880859,12337526252
17,688116,天奈科技,150.08,16.2,12.1,28398,415909008.0,12.68,151.43,134.46,136.0,133.88,0.89,1.59,144.41,19.59,34797266049,26871511684
18,300505,川金诺,37.44,4.04,12.1,177956,651042320.0,15.39,38.66,33.52,34.43,33.4,1.32,18.44,66.42,5.26,5171821949,3614065790
19,688388,嘉元科技,142.11,15.31,12.07,52022,726048928.0,12.05,145.28,130.0,130.0,126.8,1.06,3.1,67.17,11.73,32809788360,23810757876
20,300670,大烨智能,10.1,1.08,11.97,248073,248290011.0,16.3,10.58,9.11,9.15,9.02,2.2,11.77,87.44,3.44,3190493838,2128974122
21,300821,东岳硅材,23.95,2.55,11.92,444904,1027946368.0,10.93,24.22,21.88,22.06,21.4,1.08,10.67,38.84,6.69,28740000000,9987150000
22,688133,泰坦科技,234.9,24.91,11.86,6466,147412207.0,14.94,239.96,208.58,208.58,209.99,1.42,3.98,195.97,12.24,17910880704,3818675810
23,688669,聚石化学,43.21,4.56,11.8,57686,240514937.0,16.46,45.03,38.67,39.25,38.65,1.12,28.98,37.42,2.75,4032933362,860250433
24,688611,杭州柯林,50.9,5.37,11.79,10523,51663694.0,12.91,51.33,45.45,46.52,45.53,1.67,8.29,82.8,3.77,2845310000,645911329
25,688768,容知日新,118.8,12.34,11.59,4456,50769713.0,12.91,118.98,105.24,105.24,106.46,0.93,3.99,181.2,11.41,6518020331,1327134402
26,300880,迦南智能,28.9,2.98,11.5,108804,306472304.0,13.93,29.92,26.31,26.97,25.92,1.16,15.54,47.41,6.95,4624924800,2023404600
27,300084,海默科技,7.11,0.72,11.27,741462,523280304.0,15.18,7.43,6.46,6.61,6.39,1.31,22.49,-49.55,2.19,2735684397,2344538007
28,300833,浩洋股份,59.35,6.0,11.25,7536,43888215.0,14.06,60.28,52.78,53.36,53.35,1.94,3.57,73.35,2.85,5004807450,1251216700
29,300679,电连技术,42.81,4.28,11.11,81296,337680816.0,16.84,43.88,37.39,39.0,38.53,1.72,2.62,48.01,4.92,18031572000,13281788030
30,300432,富临精工,40.84,4.0,10.86,254758,1020595488.0,9.45,41.5,38.02,38.55,36.84,0.94,3.51,94.63,13.43,30359731008,29627674784
31,300969,恒帅股份,86.15,8.4,10.8,29773,249383337.0,14.64,88.58,77.2,79.12,77.75,0.94,14.89,56.21,9.41,6892000000,1723000000
32,300286,安科瑞,20.65,1.96,10.49,116872,237970355.0,13.48,21.2,18.68,18.68,18.69,1.77,6.74,23.77,5.23,4435622581,3581597516
33,688617,惠泰医疗,404.0,38.07,10.4,3889,155251012.0,11.08,408.66,368.12,369.98,365.93,2.05,2.71,117.26,16.24,26934680000,5791824800
34,600719,大连热电,4.02,0.37,10.14,258330,102475428.0,9.86,4.02,3.66,3.66,3.65,1.18,6.38,95.44,2.16,1626490392,1626490392
35,600780,通宝能源,4.68,0.43,10.12,228783,105488373.0,8.94,4.68,4.3,4.34,4.25,1.12,2.0,24.83,0.95,5365631808,5365631808
36,600973,宝胜股份,4.9,0.45,10.11,341657,164996876.0,9.21,4.9,4.49,4.49,4.45,1.41,2.73,17.38,1.48,6719694615,6134619989
37,300506,名家汇,7.09,0.65,10.09,225881,157266349.0,12.42,7.3,6.5,6.5,6.44,1.2,4.63,365.82,3.46,4644274552,3459264147
38,600683,京投发展,6.33,0.58,10.09,446212,267261992.0,11.3,6.33,5.68,5.84,5.75,0.78,6.02,14.55,1.47,4689122189,4689122189
39,000420,吉林化纤,4.81,0.44,10.07,489398,229682203.0,6.86,4.81,4.51,4.51,4.37,0.72,2.26,127.91,3.38,10429578041,10424309619
40,601608,中信重工,5.47,0.5,10.06,1465671,781906480.0,8.45,5.47,5.05,5.06,4.97,0.76,3.38,68.26,3.21,23736623533,23736623533
41,600725,云维股份,4.05,0.37,10.05,264171,103991230.0,8.7,4.05,3.73,3.73,3.68,0.84,2.14,313.51,15.35,4991503500,4991503500
42,002135,东南网架,10.18,0.93,10.05,539941,536288784.0,8.97,10.18,9.35,9.39,9.25,0.75,5.61,14.62,2.24,10530214396,9800813141
43,000695,滨海能源,10.18,0.93,10.05,97204,95523427.0,9.95,10.18,9.26,9.58,9.25,1.45,4.38,-64.37,6.59,2261461947,2257123231
44,002817,黄山胶囊,10.4,0.95,10.05,50376,51127255.0,10.58,10.4,9.4,9.46,9.45,2.14,4.13,41.67,2.85,2221872120,1268271732
45,600025,华能水电,8.54,0.78,10.05,1310837,1079560816.0,10.44,8.54,7.73,7.79,7.76,0.92,0.73,28.53,3.19,153720000000,153720000000
46,601199,江南水务,4.6,0.42,10.05,531556,239456830.0,10.29,4.6,4.17,4.19,4.18,4.34,5.68,19.93,1.38,4301967343,4301967343
47,601016,节能风电,7.89,0.72,10.04,5451096,3964607504.0,15.9,7.89,6.75,6.87,7.17,1.01,12.17,33.71,3.88,39552980280,35350684863
48,002453,华软科技,17.22,1.57,10.03,310866,521713040.0,8.63,17.22,15.87,16.18,15.65,0.96,5.44,413.81,7.25,16259420615,9837786000
49,603050,科林电气,18.43,1.68,10.03,105080,189189181.0,9.25,18.43,16.88,16.99,16.75,1.19,6.48,18.89,2.37,2989532143,2989532143
50,600610,中毅达,18.54,1.69,10.03,78554,141250858.0,9.44,18.54,16.95,17.35,16.85,0.68,1.75,806.82,193.82,19861431177,8318438672
51,001217,华尔泰,16.57,1.51,10.03,2173,3599832.0,0.0,16.57,16.57,16.57,15.06,0.21,0.26,15.13,3.19,5499085900,1374812900
52,605162,新中港,12.73,1.16,10.03,165582,208284857.0,11.15,12.73,11.44,11.5,11.57,0.82,20.67,42.78,4.7,5097741230,1019548246
53,000037,深南电A,8.78,0.8,10.03,107875,93552680.0,9.02,8.78,8.06,8.1,7.98,0.88,3.18,1817.06,2.57,5292255593,2975486063
54,002283,天润工业,9.11,0.83,10.02,303384,265433440.0,10.75,9.11,8.22,8.4,8.28,0.85,3.06,16.6,1.96,10345624629,9034830438
55,002487,大金重工,24.04,2.19,10.02,196999,465426048.0,8.42,24.04,22.2,22.44,21.85,0.61,3.61,32.47,5.11,13358162560,13117372463
56,600793,宜宾纸业,14.93,1.36,10.02,118271,169200555.0,11.2,14.93,13.41,13.8,13.57,0.84,6.69,58.0,4.24,2641176750,2641176750
57,600561,江西长运,5.16,0.47,10.02,43954,21914718.0,10.02,5.16,4.69,4.72,4.69,1.74,1.85,67.14,1.33,1467900288,1223250240
58,600110,诺德股份,21.41,1.95,10.02,525865,1104219584.0,7.5,21.41,19.95,19.95,19.46,0.9,3.97,74.24,8.28,29915521047,28329319298
59,300510,金冠股份,7.8,0.71,10.01,476618,361829792.0,9.59,7.92,7.24,7.25,7.09,1.29,5.8,451.81,2.47,6463266116,6413368689
60,600505,西昌电力,8.9,0.81,10.01,484320,426250624.0,8.53,8.9,8.21,8.34,8.09,1.72,13.28,-577.7,2.75,3244650750,3244650750
61,603530,神马电力,19.34,1.76,10.01,40847,78128550.0,9.61,19.34,17.65,17.65,17.58,1.33,10.2,96.33,5.47,8359972744,774460437
62,603131,上海沪工,21.1,1.92,10.01,33946,69768562.0,10.01,21.1,19.18,19.18,19.18,1.2,1.14,64.92,5.2,6709383760,6274439037
