,code,market,decimal,prePrice,details
0,688103,1,2,53.73,"09:23:29,54.00,2,0,4"
1,688103,1,2,53.73,"09:24:35,54.00,5,0,4"
2,688103,1,2,53.73,"09:24:38,54.00,5,0,4"
3,688103,1,2,53.73,"09:25:04,54.00,5,2,1"
4,688103,1,2,53.73,"09:30:02,54.00,10,1,1"
5,688103,1,2,53.73,"09:30:05,54.00,26,2,1"
6,688103,1,2,53.73,"09:30:08,55.35,37,8,2"
7,688103,1,2,53.73,"09:30:11,55.00,14,2,1"
8,688103,1,2,53.73,"09:30:14,55.00,22,5,1"
9,688103,1,2,53.73,"09:30:17,55.00,27,2,1"
10,688103,1,2,53.73,"09:30:20,54.00,65,13,1"
11,688103,1,2,53.73,"09:30:32,54.22,3,1,1"
12,688103,1,2,53.73,"09:30:44,54.97,3,1,2"
13,688103,1,2,53.73,"09:30:50,54.23,11,5,1"
14,688103,1,2,53.73,"09:30:53,54.23,9,2,2"
15,688103,1,2,53.73,"09:31:11,54.24,16,3,1"
16,688103,1,2,53.73,"09:31:14,54.24,6,2,2"
17,688103,1,2,53.73,"09:31:17,54.23,5,2,1"
18,688103,1,2,53.73,"09:32:02,54.25,2,1,1"
19,688103,1,2,53.73,"09:32:05,54.24,4,2,1"
20,688103,1,2,53.73,"09:32:20,54.25,2,1,1"
21,688103,1,2,53.73,"09:32:23,54.20,24,9,1"
22,688103,1,2,53.73,"09:32:26,54.21,3,2,2"
23,688103,1,2,53.73,"09:32:32,54.21,9,3,1"
24,688103,1,2,53.73,"09:32:38,54.21,2,1,1"
25,688103,1,2,53.73,"09:32:53,54.22,2,1,1"
26,688103,1,2,53.73,"09:33:08,54.00,14,5,1"
27,688103,1,2,53.73,"09:33:11,54.23,2,1,2"
28,688103,1,2,53.73,"09:33:17,54.00,181,3,1"
29,688103,1,2,53.73,"09:33:23,53.98,6,5,2"
30,688103,1,2,53.73,"09:33:26,53.97,4,2,2"
31,688103,1,2,53.73,"09:33:29,53.97,2,2,2"
32,688103,1,2,53.73,"09:34:23,53.97,12,7,2"
33,688103,1,2,53.73,"09:34:29,53.95,4,2,2"
34,688103,1,2,53.73,"09:34:32,53.99,11,6,2"
35,688103,1,2,53.73,"09:34:35,54.00,14,3,2"
36,688103,1,2,53.73,"09:35:08,53.99,4,2,1"
37,688103,1,2,53.73,"09:35:14,53.95,8,4,1"
38,688103,1,2,53.73,"09:35:20,53.82,4,2,2"
39,688103,1,2,53.73,"09:35:32,53.82,5,2,1"
40,688103,1,2,53.73,"09:36:02,53.83,2,1,1"
41,688103,1,2,53.73,"09:36:11,53.82,3,2,1"
42,688103,1,2,53.73,"09:36:38,53.52,11,3,1"
43,688103,1,2,53.73,"09:36:41,53.52,14,3,2"
44,688103,1,2,53.73,"09:36:53,53.50,6,1,1"
45,688103,1,2,53.73,"09:37:11,53.47,4,3,1"
46,688103,1,2,53.73,"09:37:23,53.49,2,1,2"
47,688103,1,2,53.73,"09:37:29,53.39,2,1,1"
48,688103,1,2,53.73,"09:37:50,53.38,2,1,2"
49,688103,1,2,53.73,"09:37:53,53.00,126,9,1"
50,688103,1,2,53.73,"09:37:56,53.01,2,1,1"
51,688103,1,2,53.73,"09:38:08,53.37,4,1,2"
52,688103,1,2,53.73,"09:38:17,53.15,18,5,1"
53,688103,1,2,53.73,"09:38:23,53.17,2,1,1"
54,688103,1,2,53.73,"09:38:35,53.15,15,6,1"
55,688103,1,2,53.73,"09:38:47,53.35,2,1,2"
56,688103,1,2,53.73,"09:39:08,53.02,4,2,1"
57,688103,1,2,53.73,"09:39:29,53.02,15,8,1"
58,688103,1,2,53.73,"09:39:47,53.00,55,11,1"
59,688103,1,2,53.73,"09:39:50,53.00,26,10,1"
60,688103,1,2,53.73,"09:39:56,53.01,36,6,1"
61,688103,1,2,53.73,"09:40:02,53.01,6,3,1"
62,688103,1,2,53.73,"09:40:08,53.02,2,1,1"
63,688103,1,2,53.73,"09:40:11,53.00,102,5,1"
64,688103,1,2,53.73,"09:40:14,53.00,25,5,1"
65,688103,1,2,53.73,"09:40:20,53.00,27,8,1"
66,688103,1,2,53.73,"09:40:53,53.00,8,2,2"
67,688103,1,2,53.73,"09:40:56,52.87,43,8,1"
68,688103,1,2,53.73,"09:41:02,52.87,2,1,2"
69,688103,1,2,53.73,"09:41:05,52.87,5,1,2"
70,688103,1,2,53.73,"09:41:11,52.80,11,7,1"
71,688103,1,2,53.73,"09:41:17,52.80,2,2,1"
72,688103,1,2,53.73,"09:41:23,52.80,9,2,1"
73,688103,1,2,53.73,"09:41:44,52.55,31,7,1"
74,688103,1,2,53.73,"09:41:53,52.54,3,1,2"
75,688103,1,2,53.73,"09:42:02,52.53,2,1,2"
76,688103,1,2,53.73,"09:42:05,52.55,50,3,2"
77,688103,1,2,53.73,"09:42:08,52.55,56,3,2"
78,688103,1,2,53.73,"09:42:17,52.56,3,2,2"
79,688103,1,2,53.73,"09:42:26,52.50,12,4,1"
80,688103,1,2,53.73,"09:42:29,52.56,5,1,2"
81,688103,1,2,53.73,"09:42:32,52.35,19,2,1"
82,688103,1,2,53.73,"09:42:44,52.07,8,3,1"
83,688103,1,2,53.73,"09:43:02,52.30,1,1,2"
84,688103,1,2,53.73,"09:43:53,52.83,2,1,2"
85,688103,1,2,53.73,"09:44:05,52.33,3,2,1"
86,688103,1,2,53.73,"09:44:17,52.35,4,1,1"
87,688103,1,2,53.73,"09:44:20,52.35,4,2,1"
88,688103,1,2,53.73,"09:44:44,52.33,2,3,1"
89,688103,1,2,53.73,"09:45:02,52.56,2,1,2"
90,688103,1,2,53.73,"09:45:17,52.38,2,1,1"
91,688103,1,2,53.73,"09:45:23,52.57,2,1,2"
92,688103,1,2,53.73,"09:45:38,52.38,3,2,1"
93,688103,1,2,53.73,"09:45:56,52.57,2,1,2"
94,688103,1,2,53.73,"09:46:17,52.58,2,1,2"
95,688103,1,2,53.73,"09:46:44,52.58,2,1,2"
96,688103,1,2,53.73,"09:47:11,52.59,2,1,2"
97,688103,1,2,53.73,"09:47:32,52.66,3,2,2"
98,688103,1,2,53.73,"09:47:47,52.66,1,1,2"
99,688103,1,2,53.73,"09:48:02,52.66,1,1,1"
100,688103,1,2,53.73,"09:48:11,52.40,4,2,1"
101,688103,1,2,53.73,"09:48:14,52.39,6,3,1"
102,688103,1,2,53.73,"09:48:17,52.38,4,2,1"
103,688103,1,2,53.73,"09:48:20,52.38,4,1,1"
104,688103,1,2,53.73,"09:48:23,52.38,4,1,1"
105,688103,1,2,53.73,"09:48:26,52.38,2,1,1"
106,688103,1,2,53.73,"09:48:32,52.57,2,1,2"
107,688103,1,2,53.73,"09:48:59,52.57,2,1,2"
